leading_item_id,following_item_id,max_corr,best_lag,leader_mean,leader_std,follower_mean,follower_std,lag_x_corr,mean_ratio,std_ratio
VMAQSTJE,OGAFEHLU,0.41656746212336976,1,136660.41860465117,87565.03180566484,1785496.6279069767,3359489.1308363928,0.41656746212336976,13.06520678133751,38.3656473540011
UIFPPCLR,JPBRUTWP,0.3408346315249689,5,225302.93023255814,151018.5378721488,6196286.279069767,1328244.373028431,1.7041731576248444,27.502022599734705,8.79524058261058
ZKENOUDA,ATLDMDBO,-0.3472391561415619,1,163893.83720930232,161773.9095654481,59997368.674418606,32347299.68026454,0.3472391561415619,366.0745864253106,199.95374882732864
UGEQLMXM,ROACSLMG,0.4139551279613697,3,156311.44186046513,113236.30523025779,2137643.302325581,394841.09931520995,1.2418653838841092,13.675539531009639,3.486877274111359
UQYUIVVR,QJQJSWFU,-0.3017800226146507,1,3521687.465116279,3086917.8975832113,172761.72093023255,83125.52033012893,0.3017800226146507,0.049056516979844846,0.026928322387576965
XIPPENFQ,RAWUKQMJ,-0.38568642940536724,1,149003.3023255814,84821.17061275388,4207967.627906977,886405.4158732577,0.38568642940536724,28.24076756825206,10.45028510523204
DNMPSKTB,TANNMIMB,0.30380857860249694,6,6718478.9069767445,2173533.0110572237,100.88372093023256,488.1737304795709,1.8228514716149817,1.5015857358048074e-05,0.00022459917930664177
ELQGMQWE,LUENUFGA,-0.3131234040138535,3,386914.3023255814,184187.38995451733,6410190.837209302,4770467.673868264,0.9393702120415606,16.567469330194662,25.90007749727258
BSRMSVTC,STZDBITS,0.4592236712288361,5,521682.3953488372,573916.8856602091,24595488.48837209,10320964.82063318,2.2961183561441807,47.14647975015239,17.983378915123584
UIFPPCLR,JPBRUTWP,0.3408346315249689,5,225302.93023255814,151018.5378721488,6196286.279069767,1328244.373028431,1.7041731576248444,27.502022599734705,8.79524058261058
FWUCPMMW,RUVXNNVA,0.6058188436779159,5,2272.6279069767443,6452.598268890318,6.465116279069767,31.06134128882553,3.02909421838958,0.0028447755377718105,0.004813772683442373
DBWLZWNK,AXULOHBQ,0.5415181814678813,6,496985.25581395347,283852.3825472058,96264.09302325582,68687.62776235072,3.249109088807288,0.19369607427367744,0.24198362242277713
WQMVCOEM,QSDCUCLB,0.5051833370936777,6,146883.09302325582,122762.57339153606,64.95348837209302,197.1710334742901,3.0311000225620663,0.00044221215004892905,0.0016061168157809086
FQCLOEXA,PYZMVUWD,-0.495595201985277,5,1543955.1395348837,388064.11943692074,12327.976744186046,17444.10107462648,2.477976009926385,0.007984672888806771,0.04495159485471844
TGOELCAG,FRHNWLNI,-0.36556803523879333,6,203362.6976744186,309900.61848685704,1301803.9069767443,458421.81215312914,2.19340821143276,6.401389841191605,1.4792542667064463
BUZIIBYG,BJALXPFS,-0.33277831383814105,1,17218971.790697675,2252755.700802552,164484.27906976745,91116.96303929096,0.33277831383814105,0.009552502964121145,0.04044689044923504
DJBLNPNC,LRVGFDFM,0.36080142883824434,5,1983.5581395348838,5051.180811994062,18698103.372093022,18697580.01695645,1.8040071441912218,9426.54666379021,3701.6255622561152
BSRMSVTC,SAHWCZNH,0.35882615055352785,3,521682.3953488372,573916.8856602091,2155944.5581395347,1218372.3496791958,1.0764784516605834,4.132676466288978,2.1229073061258865
ZKENOUDA,ELQGMQWE,0.4112732694808207,3,163893.83720930232,161773.9095654481,386914.3023255814,184187.38995451733,1.233819808442462,2.3607617523110873,1.1385481778127082
QJQJSWFU,BEZYMBBT,0.3848549432958962,3,172761.72093023255,83125.52033012893,4939372.674418605,988692.1366975273,1.1545648298876885,28.590666079233557,11.893966290485654
GKQIJYDH,ELQGMQWE,0.3581397638723409,2,14118353.488372093,12827842.650181666,386914.3023255814,184187.38995451733,0.7162795277446818,0.02740505843292686,0.014358407331406933
KAGJCHMR,FTSVTTSR,0.330789702334275,4,22543.418604651164,34677.543918173666,178820.76744186046,236085.0065819156,1.3231588093371,7.932282612941137,6.80800829298009
LTOYKIML,LLHREMKS,0.5091538722641084,6,334008.511627907,156962.93340583995,54678.93023255814,69750.10861853519,3.05492323358465,0.16370520010372666,0.4443731211224656
BJALXPFS,ATLDMDBO,0.3462245389913851,2,164484.27906976745,91116.96303929096,59997368.674418606,32347299.68026454,0.6924490779827702,364.76050485411696,355.0085362915455
