item_id,window,ma_mean,ma_std,ma_max,ma_min,ma_range
AANGBULD,3,324917.6666666667,285138.5029881677,533478.0,0.0,533478.0
AANGBULD,6,173166.5,245579.39257254466,533478.0,0.0,533478.0
AANGBULD,12,203547.75,214223.08478827518,533478.0,0.0,533478.0
AHMDUILJ,3,106089.66666666667,19441.444630822465,127473.0,89479.0,37994.0
AHMDUILJ,6,111930.5,28044.884651215798,157401.0,80404.0,76997.0
AHMDUILJ,12,124621.91666666667,34306.57444667354,184920.0,78649.0,106271.0
ANWUJOKX,3,0.0,0.0,0.0,0.0,0.0
ANWUJOKX,6,0.0,0.0,0.0,0.0,0.0
ANWUJOKX,12,2331.6666666666665,8077.130265962865,27980.0,0.0,27980.0
APQGTRMF,3,25527.0,19472.85579980491,40608.0,3543.0,37065.0
APQGTRMF,6,16633.666666666668,17257.83086794677,40608.0,77.0,40531.0
APQGTRMF,12,91516.5,194866.8907996149,683581.0,0.0,683581.0
ATLDMDBO,3,42136251.0,13185372.240127077,57090235.0,32181798.0,24908437.0
ATLDMDBO,6,39480171.5,9807002.42687019,57090235.0,29354408.0,27735827.0
ATLDMDBO,12,41817203.833333336,12334926.23834926,64451013.0,29291955.0,35159058.0
AXULOHBQ,3,73175.0,35664.95192762761,112061.0,41989.0,70072.0
AXULOHBQ,6,79954.0,23861.16070102185,112061.0,41989.0,70072.0
AXULOHBQ,12,71112.0,26908.120092438323,113337.0,30708.0,82629.0
BEZYMBBT,3,3486806.6666666665,792743.0836042255,4129837.0,2601088.0,1528749.0
BEZYMBBT,6,3939490.3333333335,1043824.5300297656,5437047.0,2601088.0,2835959.0
BEZYMBBT,12,4073752.0,886916.2845457059,5437047.0,2601088.0,2835959.0
BJALXPFS,3,134991.66666666666,47172.800217215576,174914.0,82938.0,91976.0
BJALXPFS,6,161320.16666666666,72641.37498262727,282206.0,82938.0,199268.0
BJALXPFS,12,143983.58333333334,68168.12925468425,282206.0,39276.0,242930.0
BLANHGYY,3,32823.333333333336,49850.30600039816,90375.0,3095.0,87280.0
BLANHGYY,6,17969.666666666668,35522.85808696518,90375.0,0.0,90375.0
BLANHGYY,12,11551.083333333334,25328.20188305494,90375.0,0.0,90375.0
BSRMSVTC,3,285557.6666666667,221782.88168461612,539041.0,127236.0,411805.0
BSRMSVTC,6,294312.3333333333,191000.68517433768,539041.0,67114.0,471927.0
BSRMSVTC,12,366367.5,167064.9427963438,573938.0,67114.0,506824.0
