max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,score,f1,nmae
7,0.09,0.8,0.9,0.05,0.5,0.6345418186081538,0.8120063191153238,0.6316549321526012
6,0.08,0.9,0.8,0.07,0.6,0.6325426278052283,0.8120063191153238,0.6366529091599149
6,0.08,0.9,0.85,0.07,0.6,0.6325426278052283,0.8120063191153238,0.6366529091599149
6,0.09,0.8,0.85,0.07,0.6,0.6324921938596691,0.8120063191153238,0.6367789940238129
6,0.09,0.8,0.8,0.07,0.6,0.6324921938596691,0.8120063191153238,0.6367789940238129
7,0.09,0.8,0.9,0.03,0.6,0.6321042835155517,0.8120063191153238,0.6377487698841063
6,0.08,0.8,0.9,0.07,0.6,0.6320741799977045,0.8120063191153238,0.6378240286787242
7,0.08,0.8,0.9,0.05,0.5,0.6320385832569322,0.8120063191153238,0.6379130205306551
7,0.08,0.8,0.9,0.03,0.5,0.6318687107855729,0.8120063191153238,0.6383377017090534
5,0.09,0.85,0.9,0.07,0.4,0.6318591426744741,0.8120063191153238,0.6383616219868006
5,0.09,0.9,0.9,0.05,0.5,0.6318319209250634,0.8120063191153238,0.6384296763603273
7,0.08,0.9,0.9,0.03,0.6,0.6317996487373395,0.8120063191153238,0.6385103568296369
7,0.09,0.8,0.9,0.07,0.4,0.6317403125756004,0.8120063191153238,0.6386586972339847
7,0.08,0.8,0.9,0.05,0.4,0.6316675317808098,0.8120063191153238,0.6388406492209611
5,0.09,0.85,0.9,0.07,0.5,0.6315304153163956,0.8120063191153238,0.6391834403819966
6,0.07,0.8,0.9,0.03,0.5,0.631495541193805,0.8120063191153238,0.6392706256884733
7,0.09,0.8,0.9,0.03,0.5,0.6314508866011039,0.8120063191153238,0.6393822621702258
5,0.09,0.9,0.9,0.05,0.6,0.631352494211935,0.8120063191153238,0.6396282431431483
6,0.09,0.8,0.8,0.03,0.6,0.6312558757100273,0.8120063191153238,0.6398697893979176
6,0.09,0.8,0.85,0.03,0.6,0.6312558757100273,0.8120063191153238,0.6398697893979176
5,0.09,0.9,0.9,0.05,0.4,0.6311775099706509,0.8120063191153238,0.6400657037463584
5,0.07,0.8,0.85,0.05,0.5,0.6311652882448548,0.8120063191153238,0.6400962580608485
5,0.07,0.8,0.8,0.05,0.5,0.6311652882448548,0.8120063191153238,0.6400962580608485
6,0.09,0.8,0.9,0.05,0.4,0.6311188950191499,0.8120063191153238,0.6402122411251111
6,0.09,0.8,0.8,0.07,0.5,0.6311183509341256,0.8120063191153238,0.6402136013376717
6,0.09,0.8,0.85,0.07,0.5,0.6311183509341256,0.8120063191153238,0.6402136013376717
6,0.08,0.8,0.9,0.07,0.5,0.6310731972819016,0.8120063191153238,0.6403264854682318
7,0.08,0.8,0.8,0.07,0.4,0.6310645298325869,0.8120063191153238,0.6403481540915186
7,0.08,0.8,0.85,0.07,0.4,0.6310645298325869,0.8120063191153238,0.6403481540915186
6,0.09,0.85,0.9,0.07,0.4,0.6310620924207596,0.8120063191153238,0.6403542476210867
5,0.08,0.8,0.9,0.05,0.6,0.6310401991023664,0.8120063191153238,0.6404089809170695
6,0.07,0.85,0.8,0.03,0.5,0.6310334722558287,0.8120063191153238,0.6404257980334139
6,0.07,0.85,0.85,0.03,0.5,0.6310334722558287,0.8120063191153238,0.6404257980334139
7,0.09,0.8,0.9,0.07,0.5,0.631018219783356,0.8120063191153238,0.6404639292145955
6,0.09,0.8,0.9,0.05,0.5,0.630989297078576,0.8120063191153238,0.6405362359765456
7,0.08,0.9,0.9,0.03,0.4,0.6309079139754745,0.8120063191153238,0.6407396937342995
5,0.08,0.9,0.8,0.07,0.5,0.6308958972000587,0.8120063191153238,0.6407697356728391
5,0.08,0.9,0.85,0.07,0.5,0.6308958972000587,0.8120063191153238,0.6407697356728391
5,0.09,0.9,0.9,0.03,0.6,0.6308879865698038,0.8120063191153238,0.6407895122484762
7,0.07,0.8,0.9,0.03,0.5,0.6308821289675319,0.8120063191153238,0.640804156254156
7,0.07,0.9,0.85,0.05,0.6,0.6308687338647476,0.8120063191153238,0.6408376440111165
7,0.07,0.9,0.8,0.05,0.6,0.6308687338647476,0.8120063191153238,0.6408376440111165
5,0.08,0.9,0.8,0.05,0.5,0.6308462220267784,0.8120063191153238,0.6408939236060396
5,0.08,0.9,0.85,0.05,0.5,0.6308462220267784,0.8120063191153238,0.6408939236060396
5,0.07,0.9,0.85,0.05,0.5,0.6306741738506407,0.8120063191153238,0.6413240440463839
5,0.07,0.9,0.8,0.05,0.5,0.6306741738506407,0.8120063191153238,0.6413240440463839
5,0.09,0.9,0.9,0.07,0.4,0.6306461603287838,0.8120063191153238,0.6413940778510262
5,0.09,0.9,0.8,0.03,0.6,0.6305992672152354,0.8120063191153238,0.6415113106348971
5,0.09,0.9,0.85,0.03,0.6,0.6305992672152354,0.8120063191153238,0.6415113106348971
5,0.09,0.9,0.85,0.05,0.6,0.6305973451193999,0.8120063191153238,0.641516115874486
5,0.09,0.9,0.8,0.05,0.6,0.6305973451193999,0.8120063191153238,0.641516115874486
6,0.07,0.8,0.9,0.07,0.5,0.630586887580964,0.8120063191153238,0.6415422597205757
6,0.08,0.8,0.9,0.05,0.4,0.6305836517720492,0.8120063191153238,0.6415503492428627
6,0.07,0.85,0.85,0.07,0.4,0.6305796854253184,0.8120063191153238,0.6415602651096898
6,0.07,0.85,0.8,0.07,0.4,0.6305796854253184,0.8120063191153238,0.6415602651096898
7,0.09,0.8,0.8,0.05,0.6,0.6305307374727471,0.8120063191153238,0.6416826349911179
7,0.09,0.8,0.85,0.05,0.6,0.6305307374727471,0.8120063191153238,0.6416826349911179
6,0.07,0.85,0.85,0.07,0.5,0.6304990154006309,0.8120063191153238,0.6417619401714084
6,0.07,0.85,0.8,0.07,0.5,0.6304990154006309,0.8120063191153238,0.6417619401714084
