item_id,year,month,seq,type,hs4,weight,quantity,value
DEWLVASR,2022,1,1.0,1,3038,14858.0,0.0,32688.0
ELQGMQWE,2022,1,1.0,1,2002,62195.0,0.0,110617.0
AHMDUILJ,2022,1,1.0,1,2102,18426.0,0.0,72766.0
XIPPENFQ,2022,1,1.0,1,2501,20426.0,0.0,11172.0
FTSVTTSR,2022,1,1.0,1,2529,248000.0,0.0,143004.0
XMKRPGLB,2022,1,1.0,1,2529,558000.0,0.0,205676.0
RCBZUSIM,2022,1,1.0,1,2805,0.0,0.0,459.0
SUOYXCHP,2022,1,1.0,1,2805,0.0,0.0,482.0
ZKENOUDA,2022,1,1.0,1,2805,2.0,0.0,2783.0
WQMVCOEM,2022,1,1.0,1,2805,187.0,0.0,217777.0
BSRMSVTC,2022,1,1.0,1,2805,111.0,0.0,33952.0
DDEXPPXU,2022,1,1.0,1,2807,387.0,0.0,13158.0
LLHREMKS,2022,1,1.0,1,2807,319.0,0.0,8705.0
DNMPSKTB,2022,1,1.0,1,2811,1748972.0,0.0,3961879.0
WPQXWHYO,2022,1,1.0,1,2811,2367757.0,0.0,4518277.0
VWMBASNE,2022,1,1.0,1,2811,94038.0,0.0,48737.0
RJGPVEXX,2022,1,1.0,1,2811,18029.0,0.0,256916.0
ATLDMDBO,2022,1,1.0,1,2814,68878617.0,0.0,60548596.0
SAHWCZNH,2022,1,1.0,1,2825,20305.0,0.0,505311.0
LUENUFGA,2022,1,1.0,1,2833,54965.0,0.0,271528.0
HXYSSRXE,2022,1,1.0,1,2836,5001891.0,0.0,2136993.0
QRKRBYJL,2022,1,1.0,1,2841,30205.0,0.0,1766040.0
FRHNWLNI,2022,1,1.0,1,2846,14696.0,0.0,529185.0
MBSBZBXA,2022,1,1.0,1,2846,186068.0,0.0,475070.0
BJALXPFS,2022,1,1.0,1,2847,4016.0,0.0,263351.0
RAWUKQMJ,2022,1,1.0,1,2916,108027.0,0.0,956479.0
ZGJXVMNI,2022,1,1.0,1,3006,17.0,0.0,4572.0
LRVGFDFM,2022,1,1.0,1,3102,50311676.0,0.0,49185609.0
BTMOEMEP,2022,1,1.0,1,3102,29575503.0,0.0,28495420.0
UXSPKBJR,2022,1,1.0,1,3206,1388.0,0.0,711457.0
BEZYMBBT,2022,1,1.0,1,3207,2807.0,0.0,2145030.0
SAAYMURU,2022,1,1.0,1,3215,384.0,0.0,4343.0
QJQJSWFU,2022,1,1.0,1,3307,9445.0,0.0,165976.0
EVBVXETX,2022,1,1.0,1,3404,357807.0,0.0,1644566.0
DUCMGGNW,2022,1,1.0,1,3806,247025.0,0.0,799493.0
OJIFIHMZ,2022,1,1.0,1,3815,2967.0,0.0,34642.0
STZDBITS,2022,1,1.0,1,3815,736003.0,0.0,9680987.0
SNHYOVBM,2022,1,1.0,1,3824,22559.0,0.0,1147185.0
LPHPPJUG,2022,1,1.0,1,3824,804346.0,0.0,373408.0
FCYBOAXC,2022,1,1.0,1,3824,10151602.0,0.0,31108561.0
JPBRUTWP,2022,1,1.0,1,3904,105588.0,0.0,2309575.0
